Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
calibration model: 14056*mpx^-0.952,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,496,-0.8,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,496,-0.8,445.74,-10.8521,488.85,-2.2291
500,496,-0.8,446.08,-10.7848,489.21,-2.1588
500,496,-0.8,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,436.52,-12.6957,479.23,-4.1537
500,496,-0.8,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,496,-0.8,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,441.03,-11.7944,483.93,-3.2131
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,498,-0.4,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,446.08,-10.7848,489.21,-2.1588
500,496,-0.8,450.75,-9.8501,494.08,-1.1832
500,496,-0.8,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,441.69,-11.6619,484.63,-3.0747
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,496,-0.8,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
