Beginning Pixel Size Calibration Test...
-----------------------------------------
Marker Size: 44.5mm
True Dist [mm], Pixel Size [px]
1100.00, 14.53
1100.00, 15.32
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.78
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.78
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.81
1100.00, 14.78
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1200.00, 13.52
1200.00, 13.52
1200.00, 12.78
1200.00, 13.04
1200.00, 13.52
1200.00, 13.76
1200.00, 13.04
1200.00, 12.78
1200.00, 12.82
1200.00, 13.28
1200.00, 13.26
1200.00, 13.04
1200.00, 13.26
1200.00, 13.52
1200.00, 13.04
1200.00, 13.52
1200.00, 13.52
1200.00, 13.26
1200.00, 13.52
1200.00, 13.76
1200.00, 12.82
1200.00, 13.28
1200.00, 13.52
1200.00, 13.26
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.06
1200.00, 12.82
1200.00, 12.82
1200.00, 13.04
1200.00, 13.50
1200.00, 13.26
1200.00, 13.06
1200.00, 13.52
1200.00, 13.26
1200.00, 13.26
1200.00, 13.26
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.76
1200.00, 13.04
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 12.78
1200.00, 13.76
1200.00, 14.02
1200.00, 13.52
1200.00, 13.52
1200.00, 13.04
1200.00, 13.04
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.04
1200.00, 13.52
1200.00, 13.04
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.76
1200.00, 13.04
1200.00, 13.52
1200.00, 13.04
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.76
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.04
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.04
1200.00, 13.52
1200.00, 13.04
1200.00, 13.52
1200.00, 13.04
1200.00, 13.76
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.52
1200.00, 13.04
1200.00, 13.04
1300.00, 12.56
