Beginning Pixel Size Calibration Test...
-----------------------------------------
aruco_approx_dist.py, test_case=4
Marker Size: 45mm
-----------------------------------------
True Dist [mm], Pixel Size [px]
-----------------------------------------
900.00, 18.09
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 17.74
900.00, 18.09
900.00, 18.49
900.00, 18.13
900.00, 18.13
900.00, 18.09
900.00, 18.09
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 17.82
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 17.87
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 17.87
900.00, 18.09
900.00, 18.09
900.00, 18.13
900.00, 18.13
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.30
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1000.00, 16.33
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1100.00, 14.21
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.45
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.44
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.44
1200.00, 13.14
1200.00, 13.44
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.44
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.44
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.44
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
