RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\aruco_approx_dist.py
24/9/18
marker size 38.5mm
ID | Loc [px] | Dist [mm] | ~Dist [mm] | Error_d [%] | Heading [px]
-------------------------------------------------------------------
1   (291,110)     647.00      623.01           3.71        -29
1   (426,172)     608.00      583.05           4.10        106
1   (355,141)     624.00      593.24           4.93         35
1   (290,172)     629.00      599.36           4.71        -30
1   (291,111)     642.00      613.71           4.41        -29
1   (355,146)     620.00      580.06           6.44         35
1   (427,177)     604.00      583.54           3.39        107
1   (290,114)     638.00      594.55           6.81        -30
1   (427,179)     599.00      591.94           1.18        107
1   (355,148)     613.00      580.06           5.37         35
1   (289,179)     617.00      585.76           5.06        -31
1   (290,116)     632.00      603.16           4.56        -30
1   (429,182)     595.00      584.27           1.80        109
1   (355,150)     611.00      573.56           6.13         35
1   (289,181)     613.00      566.82           7.53        -31
1   (289,118)     627.00      602.35           3.93        -31
1   (429,186)     588.00      575.44           2.14        109
1   (355,154)     596.00      555.16           6.85         35
1   (288,185)     607.00      573.06           5.59        -32
1   (289,121)     616.00      593.48           3.66        -31
1   (430,189)     582.00      567.62           2.47        110
1   (355,156)     593.00      567.20           4.35         35
1   (287,187)     598.00      560.91           6.20        -33
1   (288,122)     607.00      567.31           6.54        -32
1   (430,190)     574.00      566.89           1.24        110
1   (355,157)     587.00      561.24           4.39         35
1   (286,189)     590.00      549.52           6.86        -34
1   (288,123)     601.00      567.32           5.60        -32
1   (285,192)     576.00      561.24           2.56        -35
1   (286,124)     585.00      557.57           4.69        -34
1   (355,159)     572.00      532.53           6.90         35
1   (432,194)     560.00      544.86           2.70        112
1   (355,160)     560.00      527.27           5.84         35
1   (284,193)     571.00      532.92           6.67        -36
1   (433,196)     554.00      530.62           4.22        113
1   (285,125)     575.00      549.41           4.45        -35
1   (356,161)     555.00      521.84           5.97         36
1   (282,193)     561.00      511.99           8.74        -38
1   (284,125)     568.00      534.43           5.91        -36
1   (434,197)     544.00      530.60           2.46        114
1   (356,162)     535.00      502.01           6.17         36
1   (438,199)     527.00      518.46           1.62        118
1   (281,196)     544.00      517.51           4.87        -39
1   (283,124)     547.00      512.79           6.25        -37
1   (439,201)     517.00      505.14           2.29        119
1   (356,162)     527.00      496.97           5.70         36
1   (280,196)     537.00      502.68           6.39        -40
1   (282,123)     539.00      505.01           6.31        -38
1   (442,202)     501.00      487.56           2.68        122
1   (357,163)     509.00      478.92           5.91         37
1   (280,121)     522.00      492.46           5.66        -40
1   (278,197)     518.00      498.34           3.80        -42
1   (444,203)     492.00      488.71           0.67        124
1   (357,162)     500.00      465.91           6.82         37
1   (277,198)     509.00      489.22           3.89        -43
1   (279,121)     511.00      485.84           4.92        -41
1   (446,204)     485.00      477.18           1.61        126
1   (357,162)     491.00      458.04           6.71         37
1   (278,120)     502.00      479.64           4.45        -42
1   (276,198)     501.00      467.50           6.69        -44
1   (358,162)     475.00      442.81           6.78         38
1   (450,205)     468.00      462.03           1.28        130
1   (275,199)     486.00      455.56           6.26        -45
1   (276,117)     487.00      461.52           5.23        -44
1   (452,206)     461.00      452.42           1.86        132
1   (359,162)     467.00      442.57           5.23         39
1   (275,117)     479.00      456.10           4.78        -45
1   (454,206)     453.00      453.21           0.05        134
1   (359,162)     461.00      432.05           6.28         39
1   (273,201)     473.00      440.61           6.85        -47
1   (274,116)     472.00      440.14           6.75        -46
1   (459,207)     440.00      431.31           1.97        139
1   (360,162)     445.00      414.70           6.81         40
1   (271,203)     459.00      456.44           0.56        -49
1   (272,115)     455.00      420.84           7.51        -48
1   (360,162)     438.00      405.22           7.49         40
1   (461,208)     433.00      431.42           0.37        141
1   (270,203)     449.00      423.55           5.67        -50
1   (271,115)     448.00      421.13           6.00        -49
1   (463,209)     425.00      419.59           1.27        143
1   (361,162)     432.00      402.39           6.85         41
1   (269,204)     442.00      413.57           6.43        -51
1   (270,114)     441.00      407.66           7.56        -50
1   (466,211)     412.00      407.83           1.01        146
1   (266,206)     430.00      416.73           3.08        -54
1   (267,113)     427.00      407.71           4.52        -53
1   (361,163)     410.00      373.44           8.92         41
1   (468,212)     405.00      396.84           2.02        148
1   (265,207)     423.00      395.65           6.47        -55
1   (265,112)     421.00      395.30           6.11        -55
1   (361,163)     404.00      368.19           8.86         41
1   (263,111)     413.00      387.37           6.21        -57
1   (263,208)     416.00      395.94           4.82        -57
1   (470,213)     397.00      390.00           1.76        150
1   (361,163)     390.00      360.49           7.57         41
1   (260,209)     402.00      384.89           4.26        -60
1   (474,215)     383.00      384.08           0.28        154
1   (260,109)     398.00      376.16           5.49        -60
1   (361,163)     382.00      348.71           8.71         41
1   (258,209)     395.00      374.37           5.22        -62
1   (475,215)     377.00      377.37           0.10        155
1   (258,108)     391.00      369.31           5.55        -62
1   (360,162)     375.00      346.02           7.73         40
1   (256,210)     388.00      364.45           6.07        -64
1   (478,217)     370.00      371.23           0.33        158
1   (257,107)     384.00      365.86           4.72        -63
1   (359,162)     362.00      334.92           7.48         39
1   (252,211)     375.00      353.19           5.82        -68
1   (360,162)     356.00      324.62           8.81         40
1   (249,211)     369.00      349.22           5.36        -71
1   (359,161)     350.00      318.52           8.99         39
1   (247,213)     363.00      342.62           5.61        -73
1   (359,161)     342.00      314.64           8.00         39
1   (244,213)     357.00      336.95           5.62        -76
1   (359,161)     337.00      307.26           8.83         39
1   (243,214)     350.00      335.13           4.25        -77
1   (359,160)     332.00      301.84           9.08         39
1   (241,214)     345.00      327.18           5.17        -79
1   (358,160)     326.00      298.42           8.46         38
1   (238,215)     339.00      323.87           4.46        -82
1   (358,160)     320.00      291.95           8.77         38
1   (236,216)     333.00      316.73           4.88        -84
1   (357,160)     316.00      288.49           8.71         37
1   (234,217)     329.00      313.47           4.72        -86
1   (357,159)     311.00      285.34           8.25         37
1   (232,218)     324.00      312.12           3.67        -88
1   (357,159)     306.00      277.72           9.24         37
1   (229,218)     320.00      305.70           4.47        -91
1   (356,159)     303.00      274.78           9.31         36
1   (228,219)     317.00      302.49           4.58        -92
1   (356,158)     298.00      271.98           8.73         36
1   (226,219)     312.00      299.51           4.00        -94
1   (356,158)     295.00      266.38           9.70         36
1   (224,219)     308.00      295.11           4.18        -96
1   (356,157)     290.00      262.46           9.50         36
1   (223,220)     304.00      290.60           4.41        -97
1   (357,157)     287.00      258.61           9.89         37
1   (221,220)     300.00      286.43           4.52        -99
1   (357,157)     283.00      257.27           9.09         37
1   (220,221)     297.00      285.13           4.00       -100
1   (357,156)     279.00      251.16           9.98         37
1   (219,222)     294.00      280.98           4.43       -101
1   (357,157)     276.00      248.77           9.87         37
1   (217,224)     291.00      279.97           3.79       -103
1   (357,158)     272.00      245.28           9.82         37
1   (216,225)     287.00      275.89           3.87       -104
1   (357,158)     269.00      241.84          10.10         37
1   (214,226)     283.00      272.26           3.80       -106
1   (358,159)     265.00      238.58           9.97         38
1   (213,228)     280.00      269.77           3.65       -107
1   (358,159)     262.00      237.47           9.36         38
1   (211,229)     277.00      268.91           2.92       -109
1   (358,159)     259.00      233.31           9.92         38
1   (210,230)     274.00      263.95           3.67       -110
1   (358,159)     256.00      231.21           9.68         38
1   (208,231)     270.00      259.40           3.93       -112
1   (358,159)     253.00      228.17           9.81         38
1   (206,231)     268.00      257.38           3.96       -114
1   (358,159)     250.00      223.34          10.66         38
1   (204,232)     265.00      256.63           3.16       -116
1   (357,159)     246.00      221.29          10.05         37
1   (201,232)     261.00      255.00           2.30       -119
1   (357,158)     243.00      218.61          10.04         37
1   (199,232)     258.00      251.95           2.34       -121
1   (356,158)     239.00      215.74           9.73         36
1   (196,233)     254.00      249.25           1.87       -124
1   (356,157)     236.00      211.43          10.41         36
1   (194,233)     250.00      246.39           1.44       -126
1   (356,156)     232.00      209.61           9.65         36
1   (191,233)     247.00      241.78           2.11       -129
1   (356,156)     229.00      205.54          10.25         36
1   (188,234)     243.00      240.41           1.06       -132
1   (355,155)     225.00      200.71          10.79         35
1   (185,234)     240.00      237.06           1.22       -135
1   (355,155)     221.00      199.13           9.90         35
1   (183,235)     236.00      233.59           1.02       -137
1   (355,154)     218.00      194.80          10.64         35
1   (180,236)     233.00      231.42           0.68       -140
1   (355,154)     215.00      193.30          10.09         35
1   (177,237)     229.00      228.35           0.28       -143
1   (355,153)     211.00      189.10          10.38         35
1   (175,237)     226.00      225.24           0.34       -145
1   (355,153)     208.00      187.09          10.05         35
1   (172,238)     223.00      223.27           0.12       -148
1   (356,152)     205.00      182.56          10.95         36
1   (170,239)     220.00      220.31           0.14       -150
1   (356,151)     202.00      180.69          10.55         36
1   (168,239)     217.00      217.43           0.20       -152
1   (357,150)     199.00      177.65          10.73         37
1   (167,240)     214.00      215.19           0.56       -153
1   (359,148)     196.00      175.38          10.52         39
1   (165,239)     211.00      213.24           1.06       -155
1   (359,147)     193.00      173.03          10.35         39
1   (162,239)     208.00      210.06           0.99       -158
1   (360,146)     190.00      169.19          10.95         40
1   (162,239)     205.00      207.77           1.35       -158
1   (361,145)     188.00      167.09          11.12         41
1   (159,240)     202.00      206.25           2.10       -161
1   (362,145)     185.00      165.04          10.79         42
1   (157,240)     200.00      203.08           1.54       -163
1   (362,144)     183.00      162.95          10.96         42
1   (156,241)     198.00      201.84           1.94       -164
1   (363,143)     180.00      160.53          10.82         43
1   (154,241)     195.00      198.17           1.63       -166
1   (365,141)     177.00      159.68           9.79         45
1   (152,241)     193.00      196.65           1.89       -168
1   (365,141)     175.00      156.80          10.40         45
1   (367,140)     173.00      154.16          10.89         47
1   (150,242)     187.00      193.18           3.30       -170
1   (369,138)     170.00      152.08          10.54         49
1   (371,137)     168.00      149.99          10.72         51
1   (372,136)     166.00      148.80          10.36         52
1   (374,134)     164.00      146.41          10.72         54
1   (376,133)     162.00      144.18          11.00         56
1   (379,131)     159.00      143.21           9.93         59
1   (359,137)     162.00      136.40          15.80         39
1   (359,139)     166.00      139.68          15.85         39
1   (360,141)     171.00      143.97          15.81         40
1   (360,144)     176.00      148.90          15.40         40
1   (360,146)     181.00      153.28          15.31         40
1   (360,149)     186.00      157.42          15.37         40
1   (152,247)     204.00      201.84           1.06       -168
1   (361,152)     192.00      161.87          15.70         41
1   (158,247)     209.00      205.53           1.66       -162
1   (362,155)     197.00      167.08          15.19         42
1   (164,247)     214.00      209.97           1.88       -156
1   (362,157)     203.00      172.06          15.24         42
1   (169,247)     220.00      213.73           2.85       -151
1   (362,160)     208.00      176.63          15.08         42
1   (174,247)     225.00      219.14           2.60       -146
1   (363,162)     214.00      182.28          14.82         43
1   (180,247)     231.00      221.99           3.90       -140
1   (363,165)     220.00      188.91          14.13         43
1   (185,248)     236.00      228.23           3.29       -135
1   (363,168)     226.00      193.06          14.58         43
1   (190,249)     241.00      231.65           3.88       -130
1   (364,172)     231.00      198.27          14.17         44
1   (194,250)     248.00      236.59           4.60       -126
1   (365,175)     237.00      202.89          14.39         45
1   (199,251)     254.00      242.83           4.40       -121
1   (365,179)     244.00      210.23          13.84         45
1   (203,253)     261.00      248.58           4.76       -117
1   (364,183)     250.00      215.25          13.90         44
1   (207,254)     268.00      253.46           5.42       -113
1   (365,186)     256.00      222.66          13.02         45
1   (210,255)     274.00      256.29           6.46       -110
1   (365,188)     262.00      227.56          13.15         45
1   (214,256)     280.00      265.43           5.20       -106
1   (364,190)     269.00      235.64          12.40         44
1   (217,256)     287.00      271.36           5.45       -103
1   (363,193)     276.00      238.76          13.49         43
1   (220,256)     293.00      273.45           6.67       -100
1   (364,195)     282.00      246.85          12.46         44
1   (223,258)     300.00      281.28           6.24        -97
1   (218,117)     285.00      265.90           6.70       -102
1   (363,197)     288.00      252.62          12.28         43
1   (225,258)     307.00      285.20           7.10        -95
1   (219,119)     291.00      266.16           8.54       -101
1   (362,198)     296.00      257.49          13.01         42
1   (228,258)     314.00      295.77           5.80        -92
1   (222,122)     300.00      269.15          10.28        -98
1   (362,200)     303.00      265.31          12.44         42
1   (231,258)     321.00      300.04           6.53        -89
1   (225,125)     307.00      272.50          11.24        -95
1   (361,201)     310.00      270.66          12.69         41
1   (233,257)     327.00      308.23           5.74        -87
1   (228,127)     314.00      279.83          10.88        -92
1   (361,202)     317.00      276.40          12.81         41
1   (231,129)     321.00      287.62          10.40        -89
1   (235,256)     334.00      315.03           5.68        -85
1   (361,202)     325.00      285.22          12.24         41
1   (233,132)     329.00      296.19           9.97        -87
1   (238,255)     342.00      320.04           6.42        -82
1   (360,202)     331.00      293.21          11.42         40
1   (236,133)     336.00      304.86           9.27        -84
1   (239,254)     349.00      327.42           6.18        -81
1   (360,203)     337.00      298.35          11.47         40
1   (239,135)     344.00      306.74          10.83        -81
1   (242,253)     357.00      330.87           7.32        -78
1   (359,203)     344.00      303.53          11.76         39
1   (243,253)     363.00      337.05           7.15        -77
1   (241,137)     350.00      314.05          10.27        -79
1   (358,204)     351.00      308.65          12.07         38
1   (242,138)     357.00      318.98          10.65        -78
1   (245,252)     371.00      345.36           6.91        -75
1   (357,205)     366.00      321.99          12.03         37
1   (248,252)     385.00      358.68           6.84        -72
1   (246,143)     373.00      338.47           9.26        -74
1   (357,206)     373.00      332.28          10.92         37
1   (250,253)     391.00      365.75           6.46        -70
1   (248,145)     381.00      341.18          10.45        -72
1   (477,264)     369.00      372.34           0.91        157
1   (356,206)     379.00      336.72          11.16         36
1   (251,252)     400.00      375.90           6.03        -69
1   (249,147)     388.00      347.40          10.46        -71
1   (475,263)     375.00      366.18           2.35        155
1   (356,206)     387.00      347.76          10.14         36
1   (251,149)     396.00      359.99           9.09        -69
1   (253,251)     407.00      375.47           7.75        -67
1   (473,262)     383.00      375.21           2.03        153
1   (355,206)     402.00      357.42          11.09         35
1   (254,150)     412.00      366.67          11.00        -66
1   (256,249)     422.00      394.36           6.55        -64
1   (467,258)     397.00      380.63           4.12        147
1   (356,205)     410.00      364.91          11.00         36
1   (256,151)     420.00      384.96           8.34        -64
1   (466,257)     404.00      390.90           3.24        146
1   (258,248)     430.00      400.08           6.96        -62
1   (355,205)     418.00      388.67           7.02         35
1   (464,255)     411.00      393.77           4.19        144
1   (258,151)     428.00      388.62           9.20        -62
1   (260,247)     436.00      405.81           6.92        -60
1   (355,203)     434.00      389.36          10.29         35
1   (460,253)     427.00      396.92           7.05        140
1   (261,153)     444.00      409.37           7.80        -59
1   (263,244)     452.00      418.06           7.51        -57
1   (457,252)     435.00      415.32           4.52        137
1   (355,204)     443.00      395.24          10.78         35
1   (263,154)     454.00      417.95           7.94        -57
1   (264,244)     463.00      431.32           6.84        -56
1   (455,252)     444.00      411.15           7.40        135
1   (354,204)     451.00      398.27          11.69         34
1   (265,155)     462.00      413.06          10.59        -55
1   (266,243)     470.00      438.33           6.74        -54
1   (451,250)     460.00      427.60           7.04        131
1   (354,204)     467.00      420.55           9.95         34
1   (267,157)     478.00      442.14           7.50        -53
1   (269,243)     488.00      448.89           8.01        -51
1   (450,250)     466.00      431.76           7.35        130
1   (355,205)     475.00      421.01          11.37         35
1   (269,159)     487.00      442.06           9.23        -51
1   (271,243)     494.00      460.37           6.81        -49
1   (355,206)     484.00      434.54          10.22         35
1   (449,249)     476.00      440.66           7.42        129
1   (270,160)     494.00      446.86           9.54        -50
