----------------------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
      5,      50.0,     20.36,    829.08,    -2.49809,    -143.130,          2.908
      5,      50.0,     19.14,    882.64,    -2.08319,    -119.358,          2.734
      5,      50.0,     19.92,    854.23,    -2.18546,    -125.218,          2.846
      5,      50.0,     25.31,    671.03,    -1.00407,     -57.529,          3.616
      5,      50.0,     35.60,    484.47,    -2.07240,    -118.740,          5.086
      5,      50.0,     20.59,    825.07,    -2.22364,    -127.405,          2.942
      5,      50.0,     20.17,    837.17,    -2.35619,    -135.000,          2.882
      5,      50.0,     19.05,    885.95,    -1.94169,    -111.251,          2.721
      5,      50.0,     19.71,    871.92,    -2.21430,    -126.870,          2.816
      5,      50.0,     20.27,    832.60,    -2.49809,    -143.130,          2.896
      5,      50.0,     19.80,    853.45,    -2.05770,    -117.897,          2.828
      5,      50.0,     25.17,    674.73,    -0.98279,     -56.310,          3.596
      5,      50.0,     19.64,    866.43,    -2.14510,    -122.905,          2.806
      5,      50.0,     36.24,    476.23,    -2.04726,    -117.300,          5.177
      5,      50.0,     19.77,    868.75,    -2.21430,    -126.870,          2.825
      5,      50.0,     20.59,    824.87,    -2.25311,    -129.094,          2.941
      5,      50.0,     20.17,    837.06,    -2.28489,    -130.914,          2.882
      5,      50.0,     19.85,    850.33,    -2.42750,    -139.086,          2.836
      5,      50.0,     20.33,    837.10,    -2.11935,    -121.430,          2.904
      5,      50.0,     19.80,    853.45,    -2.05770,    -117.897,          2.828
      5,      50.0,     19.18,    879.82,    -1.94169,    -111.251,          2.740
      5,      50.0,     25.11,    676.34,    -0.98279,     -56.310,          3.588
      5,      50.0,     36.35,    475.12,    -2.00913,    -115.115,          5.192
      5,      50.0,     18.82,    896.32,    -1.89255,    -108.435,          2.689
      5,      50.0,     21.37,    794.05,    -2.19628,    -125.838,          3.053
      5,      50.0,     20.33,    844.82,    -2.11935,    -121.430,          2.905
      5,      50.0,     20.19,    835.93,    -2.39066,    -136.975,          2.884
      5,      50.0,     20.22,    834.97,    -2.32173,    -133.025,          2.888
      5,      50.0,     19.82,    859.01,    -2.10252,    -120.466,          2.831
      5,      50.0,     19.70,    857.84,    -1.98902,    -113.963,          2.814
      5,      50.0,     24.66,    688.21,    -0.89606,     -51.340,          3.524
      5,      50.0,     35.92,    480.70,    -1.98321,    -113.629,          5.132
      5,      50.0,     20.00,    844.02,    -2.21430,    -126.870,          2.857
      5,      50.0,     19.91,    862.45,    -2.14510,    -122.905,          2.844
      5,      50.0,     20.82,    814.65,    -2.15880,    -123.690,          2.974
      5,      50.0,     20.12,    845.93,    -2.03444,    -116.565,          2.875
      5,      50.0,     20.17,    836.67,    -2.39321,    -137.121,          2.882
      5,      50.0,     19.31,    875.07,    -1.94169,    -111.251,          2.759
      5,      50.0,     19.92,    846.63,    -1.87668,    -107.526,          2.846
      5,      50.0,     24.53,    692.06,    -0.90251,     -51.710,          3.504
      5,      50.0,     35.80,    482.68,    -1.94607,    -111.502,          5.114
      5,      50.0,     20.17,    836.68,    -2.32173,    -133.025,          2.882
      5,      50.0,     19.62,    859.85,    -1.87668,    -107.526,          2.803
      5,      50.0,     19.62,    861.61,    -1.92379,    -110.225,          2.802
      5,      50.0,     20.52,    825.75,    -2.15880,    -123.690,          2.932
      5,      50.0,     20.85,    823.15,    -2.05527,    -117.759,          2.978
      5,      50.0,     20.35,    829.22,    -2.22364,    -127.405,          2.908
      5,      50.0,     20.49,    830.59,    -2.01317,    -115.346,          2.927
      5,      50.0,     25.13,    675.33,    -0.81396,     -46.637,          3.590
      5,      50.0,     35.30,    489.53,    -1.92957,    -110.556,          5.043
      5,      50.0,     19.35,    871.82,    -1.77829,    -101.889,          2.764
      5,      50.0,     20.06,    841.47,    -2.18546,    -125.218,          2.865
      5,      50.0,     20.76,    816.35,    -2.11935,    -121.430,          2.965
      5,      50.0,     20.69,    828.31,    -2.07789,    -119.055,          2.956
      5,      50.0,     20.18,    836.15,    -2.32173,    -133.025,          2.883
      5,      50.0,     20.49,    830.59,    -2.01317,    -115.346,          2.927
      5,      50.0,     19.94,    847.84,    -1.92379,    -110.225,          2.848
      5,      50.0,     24.43,    694.50,    -0.81396,     -46.637,          3.489
      5,      50.0,     35.43,    487.95,    -1.89255,    -108.435,          5.062
