= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Alpha [px/bit]
      5,      38.5,     13.31,    976.51,     0.52807,          2.663
      5,      38.5,     13.31,    976.51,     0.52807,          2.663
      5,      38.5,     13.22,    983.49,     0.56673,          2.644
      5,      38.5,     13.22,    983.49,     0.56673,          2.644
      5,      38.5,     13.22,    983.49,     0.56673,          2.644
      5,      38.5,     13.22,    983.49,     0.56673,          2.644
      5,      38.5,     13.22,    983.49,     0.56673,          2.644
      5,      38.5,     13.33,    974.99,     0.56673,          2.667
      5,      38.5,     13.33,    974.99,     0.56673,          2.667
      5,      38.5,     13.66,    951.77,     0.52807,          2.732
      5,      38.5,     13.66,    951.77,     0.52807,          2.732
      5,      38.5,     13.31,    976.39,     0.52807,          2.663
      5,      38.5,     13.31,    976.39,     0.52807,          2.663
      5,      38.5,     13.31,    976.39,     0.52807,          2.663
      5,      38.5,     13.56,    958.66,     0.52807,          2.712
      5,      38.5,     13.89,    935.72,     0.52807,          2.778
      5,      38.5,     13.89,    935.72,     0.52807,          2.778
      5,      38.5,     13.89,    935.72,     0.52807,          2.778
      5,      38.5,     12.88,   1009.38,     0.46365,          2.576
      5,      38.5,     12.88,   1009.38,     0.46365,          2.576
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.22,    983.37,     0.46365,          2.644
      5,      38.5,     13.12,    990.33,     0.49935,          2.625
      5,      38.5,     13.12,    990.33,     0.49935,          2.625
      5,      38.5,     13.12,    990.33,     0.49935,          2.625
      5,      38.5,     13.12,    990.33,     0.49935,          2.625
      5,      38.5,     13.22,    983.25,     0.49935,          2.644
      5,      38.5,     13.22,    983.25,     0.49935,          2.644
      5,      38.5,     13.22,    983.25,     0.49935,          2.644
      5,      38.5,     13.47,    965.28,     0.52807,          2.693
      5,      38.5,     13.47,    965.28,     0.52807,          2.693
      5,      38.5,     13.47,    965.28,     0.52807,          2.693
      5,      38.5,     13.47,    965.28,     0.52807,          2.693
      5,      38.5,     13.47,    965.28,     0.52807,          2.693
      5,      38.5,     13.47,    965.28,     0.52807,          2.693
      5,      38.5,     13.12,    990.33,     0.52807,          2.625
      5,      38.5,     13.12,    990.33,     0.52807,          2.625
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     13.04,    996.78,     0.56673,          2.608
      5,      38.5,     12.97,   1001.95,     0.61073,          2.594
      5,      38.5,     12.97,   1001.95,     0.61073,          2.594
      5,      38.5,     12.97,   1001.95,     0.61073,          2.594
      5,      38.5,     12.97,   1001.95,     0.61073,          2.594
      5,      38.5,     12.97,   1001.95,     0.61073,          2.594
      5,      38.5,     12.97,   1001.95,     0.61073,          2.594
      5,      38.5,     12.97,   1001.95,     0.61073,          2.594
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.26,    979.98,     0.62880,          2.652
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.33,    975.21,     0.62880,          2.665
      5,      38.5,     13.67,    950.92,     0.62880,          2.733
      5,      38.5,     12.91,   1006.35,     0.67474,          2.583
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.60,    955.42,     0.62880,          2.720
      5,      38.5,     13.62,    954.04,     0.67474,          2.724
      5,      38.5,     13.62,    954.04,     0.67474,          2.724
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.26,    979.80,     0.67474,          2.652
      5,      38.5,     13.56,    958.58,     0.68573,          2.711
      5,      38.5,     13.56,    958.58,     0.68573,          2.711
      5,      38.5,     13.56,    958.58,     0.68573,          2.711
      5,      38.5,     13.56,    958.58,     0.68573,          2.711
      5,      38.5,     13.56,    958.58,     0.68573,          2.711
      5,      38.5,     13.56,    958.58,     0.68573,          2.711
      5,      38.5,     13.56,    958.58,     0.68573,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.56,    958.58,     0.62880,          2.711
      5,      38.5,     13.52,    961.12,     0.67474,          2.704
      5,      38.5,     13.52,    961.12,     0.67474,          2.704
      5,      38.5,     13.52,    961.12,     0.67474,          2.704
      5,      38.5,     13.52,    961.12,     0.67474,          2.704
      5,      38.5,     13.52,    961.12,     0.67474,          2.704
      5,      38.5,     13.52,    961.12,     0.67474,          2.704
      5,      38.5,     13.52,    961.12,     0.67474,          2.704
      5,      38.5,     13.87,    936.75,     0.62880,          2.774
      5,      38.5,     13.87,    936.75,     0.62880,          2.774
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.52,    961.12,     0.62880,          2.704
      5,      38.5,     13.22,    982.56,     0.62880,          2.645
      5,      38.5,     13.17,    986.89,     0.67474,          2.633
      5,      38.5,     13.17,    986.89,     0.67474,          2.633
      5,      38.5,     13.17,    986.89,     0.67474,          2.633
      5,      38.5,     13.20,    983.95,     0.67474,          2.641
      5,      38.5,     13.20,    983.95,     0.67474,          2.641
      5,      38.5,     13.20,    983.95,     0.67474,          2.641
      5,      38.5,     13.20,    983.95,     0.67474,          2.641
      5,      38.5,     13.20,    983.95,     0.67474,          2.641
      5,      38.5,     13.20,    983.95,     0.67474,          2.641
      5,      38.5,     13.20,    983.95,     0.67474,          2.641
      5,      38.5,     12.78,   1016.82,     0.67474,          2.555
      5,      38.5,     12.78,   1016.82,     0.67474,          2.555
      5,      38.5,     12.78,   1016.82,     0.67474,          2.555
      5,      38.5,     12.86,   1010.64,     0.61073,          2.571
      5,      38.5,     12.78,   1016.82,     0.67474,          2.555
      5,      38.5,     12.78,   1016.82,     0.67474,          2.555
      5,      38.5,     12.78,   1016.82,     0.67474,          2.555
      5,      38.5,     12.81,   1014.50,     0.67474,          2.561
      5,      38.5,     12.76,   1018.39,     0.72664,          2.551
      5,      38.5,     12.42,   1045.72,     0.72664,          2.485
      5,      38.5,     12.42,   1045.72,     0.72664,          2.485
      5,      38.5,     12.42,   1045.72,     0.72664,          2.485
      5,      38.5,     12.47,   1042.19,     0.72664,          2.493
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     12.78,   1016.76,     0.73282,          2.555
      5,      38.5,     13.14,    988.85,     0.73282,          2.628
      5,      38.5,     13.50,    962.38,     0.68573,          2.700
      5,      38.5,     13.14,    988.79,     0.68573,          2.628
      5,      38.5,     13.14,    988.79,     0.68573,          2.628
      5,      38.5,     13.14,    988.79,     0.68573,          2.628
      5,      38.5,     13.50,    962.38,     0.68573,          2.700
      5,      38.5,     13.14,    988.79,     0.68573,          2.628
      5,      38.5,     13.14,    988.79,     0.68573,          2.628
      5,      38.5,     13.14,    988.79,     0.68573,          2.628
      5,      38.5,     13.14,    988.79,     0.68573,          2.628
