D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py,,,,,,
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
5,30,12.09,841.47,0.72664,41.634,2.418
5,30,11.72,868.05,0.72664,41.634,2.344
5,30,11.76,865.28,0.66104,37.875,2.353
5,30,11.52,884.56,0.588,33.69,2.304
5,30,11.87,858.96,0.54042,30.964,2.374
5,30,11.24,907.76,0.54042,30.964,2.248
5,30,12.28,831.25,0.61073,34.992,2.456
5,30,11.59,881.21,0.54042,30.964,2.317
5,30,12.02,850.13,0.54042,30.964,2.403
5,30,11.66,875.87,0.54042,30.964,2.332
5,30,12.2,836.83,0.49935,28.61,2.44
5,30,11.76,868,0.49935,28.61,2.352
5,30,11.76,868.36,0.46365,26.565,2.353
5,30,12.23,835.99,0.39479,22.62,2.446
5,30,11.7,873.74,0.34877,19.983,2.341
5,30,12.24,835.42,0.42663,24.444,2.448
5,30,11.87,859.57,0.32175,18.435,2.373
5,30,11.24,907.28,0.26625,15.255,2.247
5,30,11.59,879.78,0.17985,10.305,2.318
5,30,12.08,843.63,0.16515,9.462,2.415
5,30,11.67,873.4,0.17985,10.305,2.335
5,30,11.18,912.21,0.17985,10.305,2.236
5,30,11.67,874.04,0.16515,9.462,2.335
5,30,11.82,862.59,0.16515,9.462,2.365
5,30,11.82,862.91,0.08314,4.764,2.365
5,30,11.33,900.98,0.09066,5.194,2.266
5,30,11,920.55,0,0,2.2
5,30,11.52,878.87,-0.09066,-5.194,2.304
5,30,11.26,899.85,0,0,2.252
5,30,11.28,897.99,0.09066,5.194,2.257
5,30,10.69,947.88,0.17985,10.305,2.138
5,30,11.24,902.71,0.34877,19.983,2.248
5,30,11.24,902.71,0.34877,19.983,2.248
5,30,10.76,942.19,0.6435,36.87,2.152
5,30,11.4,893.56,0.90975,52.125,2.28
5,30,11.06,921.59,0.85197,48.814,2.213
5,30,11.17,913.05,0.98279,56.31,2.235
5,30,11.52,884.25,1.03038,59.036,2.304
5,30,11.66,874.54,1.03038,59.036,2.332
5,30,11.3,898.22,1.19029,68.199,2.261
5,30,11.26,901.38,1.14417,65.556,2.251
5,30,11.24,902.53,1.19029,68.199,2.248
5,30,11.4,889.89,1.30454,74.745,2.28
5,30,11.4,890.48,1.30454,74.745,2.28
5,30,11.18,908.34,1.39094,79.695,2.236
5,30,10.99,924.53,1.30454,74.745,2.198
5,30,11.11,916.18,1.48014,84.806,2.223
5,30,11.33,899.36,1.48766,85.236,2.266
5,30,10.9,934.6,1.39094,79.695,2.18
