= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
24-09-24
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [deg], Alpha [px/bit]
      5,      38.5,     32.93,    395.51,       48.65,          6.586
      5,      38.5,     33.94,    383.76,       46.17,          6.789
      5,      38.5,     33.26,    391.66,       45.00,          6.652
      5,      38.5,     33.98,    383.44,       43.83,          6.796
      5,      38.5,     33.66,    387.12,       42.62,          6.732
      5,      38.5,     33.34,    390.78,       41.50,          6.667
      5,      38.5,     33.33,    390.70,       41.35,          6.666
      5,      38.5,     33.01,    394.44,       40.24,          6.601
      5,      38.5,     32.72,    397.69,       38.93,          6.544
      5,      38.5,     33.16,    392.28,       38.93,          6.631
      5,      38.5,     33.46,    388.58,       38.93,          6.693
      5,      38.5,     33.55,    387.49,       37.88,          6.710
      5,      38.5,     33.21,    391.43,       37.57,          6.641
      5,      38.5,     33.37,    389.46,       36.53,          6.673
      5,      38.5,     33.43,    388.71,       36.53,          6.686
      5,      38.5,     33.14,    392.08,       34.16,          6.629
      5,      38.5,     33.56,    387.23,       34.16,          6.712
      5,      38.5,     33.37,    389.50,       30.38,          6.674
      5,      38.5,     33.79,    384.65,       31.83,          6.758
      5,      38.5,     33.03,    393.42,       30.38,          6.607
      5,      38.5,     33.80,    384.42,       30.38,          6.761
      5,      38.5,     32.99,    393.89,       28.07,          6.598
      5,      38.5,     32.65,    397.94,       26.57,          6.531
      5,      38.5,     33.10,    392.59,       27.35,          6.619
      5,      38.5,     32.99,    393.86,       26.57,          6.598
      5,      38.5,     33.11,    392.46,       25.02,          6.621
      5,      38.5,     32.83,    395.77,       22.75,          6.566
      5,      38.5,     32.97,    394.13,       22.75,          6.593
      5,      38.5,     32.97,    394.10,       21.80,          6.593
      5,      38.5,     33.43,    388.64,       20.56,          6.686
      5,      38.5,     32.78,    396.33,       21.80,          6.555
      5,      38.5,     33.07,    392.81,       21.16,          6.614
      5,      38.5,     32.42,    400.60,       20.14,          6.485
      5,      38.5,     32.58,    398.68,       19.54,          6.516
      5,      38.5,     32.26,    402.59,       17.88,          6.452
      5,      38.5,     33.06,    392.93,       17.35,          6.611
      5,      38.5,     32.63,    398.07,       15.71,          6.526
      5,      38.5,     32.76,    396.49,       15.71,          6.552
      5,      38.5,     32.63,    398.08,       14.04,          6.526
      5,      38.5,     32.32,    401.86,       14.47,          6.465
      5,      38.5,     32.69,    397.41,       14.04,          6.537
      5,      38.5,     32.39,    401.11,       12.34,          6.477
      5,      38.5,     32.57,    398.90,       14.04,          6.514
      5,      38.5,     32.76,    396.65,       12.34,          6.551
      5,      38.5,     32.17,    403.95,       12.34,          6.434
      5,      38.5,     32.66,    397.89,       10.62,          6.532
