Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
theta_fov: 1.416,,,,,,
image width: 640,,,,,,
calibrated pixel approx: d=14430m_px^-0.958,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
400,397,-0.75,395.45,-1.1386,396.97,-0.7586
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,397.92,-0.5204,399.34,-0.1642
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,397.69,-0.5763,399.13,-0.2179
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,397.92,-0.5204,399.34,-0.1642
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,397.69,-0.5763,399.13,-0.2179
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,397.69,-0.5763,399.13,-0.2179
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,395.5,-1.1252,397.02,-0.7457
400,397,-0.75,393.27,-1.6821,394.87,-1.2813
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,497,-0.6,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,497,-0.6,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,497,-0.6,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
